Case ID;RemainingTime[s];ElapsedTime[s];Activity;Resource;Start Timestamp;Complete Timestamp;Span;Work Order  Qty;Part Desc.;Worker ID;Report Type;Qty Completed;Qty Rejected;Qty for MRB;Rework
Case101;65700.0;993480.0;Round Grinding - Machine 12;Machine 12 - Grinding;2012/03/24 23:45:00.000;2012/03/25 06:45:00.000;007:00;27;Housing;ID4528;D;17;0;0;
Case101;54000.0;1005180.0;Final Inspection Q.C.;Quality Check 1;2012/03/25 06:50:00.000;2012/03/25 11:31:00.000;004:41;27;Housing;ID4618;D;17;0;0;
Case101;49500.0;1009680.0;Lapping - Machine 1;Machine 1 - Lapping;2012/03/25 10:00:00.000;2012/03/25 11:00:00.000;001:00;27;Housing;ID0998;D;6;0;0;
Case101;48540.0;1010640.0;Laser Marking - Machine 7;Machine 7- Laser Marking;2012/03/25 11:15:00.000;2012/03/25 11:29:00.000;000:14;27;Housing;ID0998;D;17;0;0;
Case101;0.0;1059180.0;Packing;Packing;2012/03/26 00:00:00.000;2012/03/26 01:00:00.000;000:00;27;Housing;ID4820;D;17;0;0;
Case102;1309860.0;16140.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/27 16:40:00.000;2012/02/27 21:09:00.000;004:29;24;Spur Gear;ID4219;S;0;0;0;
Case102;1294620.0;31380.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/27 21:46:00.000;2012/02/28 01:23:00.000;003:37;24;Spur Gear;ID4219;S;0;0;0;
Case102;1251240.0;74760.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/28 11:00:00.000;2012/02/28 13:26:00.000;002:26;24;Spur Gear;ID0997;S;0;0;0;
Case102;1247100.0;78900.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/28 14:20:00.000;2012/02/28 16:12:00.000;001:52;24;Spur Gear;ID0997;S;0;0;0;
Case102;1241280.0;84720.0;Turning & Milling Q.C.;Quality Check 1;2012/02/28 14:35:00.000;2012/02/28 15:25:00.000;000:50;24;Spur Gear;ID4287;D;0;0;0;
Case102;1235040.0;90960.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/28 16:12:00.000;2012/02/28 17:56:00.000;001:44;24;Spur Gear;ID0997;D;3;0;0;
Case102;1207860.0;118140.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/28 21:28:00.000;2012/02/29 01:29:00.000;004:01;24;Spur Gear;ID4219;D;9;0;0;
Case102;1196940.0;129060.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/29 01:30:00.000;2012/02/29 04:31:00.000;003:01;24;Spur Gear;ID4794;D;7;0;0;
Case102;1173300.0;152700.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/29 07:32:00.000;2012/02/29 11:05:00.000;003:33;24;Spur Gear;ID0997;D;5;0;0;
Case102;1159200.0;166800.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/29 11:05:00.000;2012/02/29 16:00:00.000;004:55;24;Spur Gear;ID0997;S;1;0;0;
Case102;1155600.0;170400.0;Turning & Milling Q.C.;Quality Check 1;2012/02/29 15:00:00.000;2012/02/29 16:00:00.000;001:00;24;Spur Gear;ID4287;D;24;0;0;
Case102;1155360.0;170640.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/29 16:00:00.000;2012/02/29 17:20:00.000;001:20;24;Spur Gear;ID0997;S;0;0;0;
Case102;1150860.0;175140.0;Turning & Milling Q.C.;Quality Check 1;2012/02/29 16:04:00.000;2012/02/29 16:36:00.000;000:32;24;Spur Gear;ID4287;D;0;0;0;
Case102;1149120.0;176880.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/29 17:19:00.000;2012/02/29 17:48:00.000;000:29;24;Spur Gear;ID0997;D;8;0;0;
Case102;1126140.0;199860.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/29 22:27:00.000;2012/03/01 00:11:00.000;001:44;24;Spur Gear;ID4219;D;15;0;0;
Case102;1087860.0;238140.0;Turning & Milling Q.C.;Quality Check 1;2012/03/01 09:30:00.000;2012/03/01 10:49:00.000;001:19;24;Spur Gear;ID4287;D;0;1;0;
Case102;690300.0;635700.0;Turning & Milling Q.C.;Quality Check 1;2012/03/06 00:00:00.000;2012/03/06 01:15:00.000;000:00;24;Spur Gear;ID4287;D;23;0;0;
Case102;469140.0;856860.0;Laser Marking - Machine 7;Machine 7- Laser Marking;2012/03/08 13:32:00.000;2012/03/08 14:41:00.000;001:09;24;Spur Gear;ID0998;D;23;0;0;
Case102;431100.0;894900.0;Lapping - Machine 1;Machine 1 - Lapping;2012/03/09 00:00:00.000;2012/03/09 01:15:00.000;000:00;24;Spur Gear;ID4882;D;0;0;0;
Case102;222960.0;1103040.0;Lapping - Machine 1;Machine 1 - Lapping;2012/03/11 09:38:00.000;2012/03/11 11:04:00.000;001:26;24;Spur Gear;ID0998;D;23;0;0;
Case102;190800.0;1135200.0;Round Grinding - Manual;Machine 27 - Grinding;2012/03/11 19:25:00.000;2012/03/11 20:00:00.000;000:35;24;Spur Gear;ID4528;S;0;0;0;
Case102;177600.0;1148400.0;Round Grinding - Manual;Machine 27 - Grinding;2012/03/11 20:00:00.000;2012/03/11 23:40:00.000;003:40;24;Spur Gear;ID4528;D;23;0;0;
Case102;148200.0;1177800.0;Round Grinding - Machine 3;Machine 3 - Round Grinding;2012/03/12 07:03:00.000;2012/03/12 08:09:00.000;001:06;24;Spur Gear;ID4445;S;0;0;0;
Case102;147360.0;1178640.0;Round Grinding - Q.C.;Quality Check 1;2012/03/12 07:50:00.000;2012/03/12 08:09:00.000;000:19;24;Spur Gear;ID4287;D;5;0;0;
Case102;147060.0;1178940.0;Round Grinding - Machine 3;Machine 3 - Round Grinding;2012/03/12 08:02:00.000;2012/03/12 08:04:00.000;000:02;24;Spur Gear;ID4445;S;0;0;0;
Case102;140400.0;1185600.0;Round Grinding - Machine 3;Machine 3 - Round Grinding;2012/03/12 08:10:00.000;2012/03/12 10:58:00.000;002:48;24;Spur Gear;ID4445;D;23;0;0;
Case102;136920.0;1189080.0;Round Grinding - Q.C.;Quality Check 1;2012/03/12 10:00:00.000;2012/03/12 10:57:00.000;000:57;24;Spur Gear;ID4287;D;18;0;0;
Case102;115200.0;1210800.0;Final Inspection Q.C.;Quality Check 1;2012/03/12 14:00:00.000;2012/03/12 17:00:00.000;003:00;24;Spur Gear;ID4287;D;0;0;0;
Case102;60840.0;1265160.0;Final Inspection Q.C.;Quality Check 1;2012/03/13 08:00:00.000;2012/03/13 08:06:00.000;000:06;24;Spur Gear;ID4287;D;23;0;0;
Case102;0.0;1326000.0;Packing;Packing;2012/03/14 00:00:00.000;2012/03/14 01:00:00.000;000:00;24;Spur Gear;ID4820;D;23;0;0;
Case103;744120.0;4080.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/06 09:10:00.000;2012/03/06 10:18:00.000;001:08;52;Adjusting Nut;ID4219;B;0;0;0;
Case103;583740.0;164460.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/08 04:19:00.000;2012/03/08 06:51:00.000;002:32;52;Adjusting Nut;ID0997;S;0;0;0;
Case103;548520.0;199680.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/08 10:04:00.000;2012/03/08 16:38:00.000;006:34;52;Adjusting Nut;ID4219;S;0;0;0;
Case103;505500.0;242700.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/08 20:24:00.000;2012/03/09 04:35:00.000;008:11;52;Adjusting Nut;ID0997;S;0;0;0;
Case103;495180.0;253020.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/09 04:35:00.000;2012/03/09 07:27:00.000;002:52;52;Adjusting Nut;ID0997;D;14;0;0;
Case103;494880.0;253320.0;Turning & Milling Q.C.;Quality Check 1;2012/03/09 07:32:00.000;2012/03/09 10:38:00.000;002:55;52;Adjusting Nut;ID4618;D;0;0;0;
Case103;483720.0;264480.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/09 07:32:00.000;2012/03/09 10:27:00.000;003:06;52;Adjusting Nut;ID4219;D;8;0;0;
Case103;319440.0;428760.0;Turning & Milling Q.C.;Quality Check 1;2012/03/11 07:42:00.000;2012/03/11 08:16:00.000;000:34;52;Adjusting Nut;ID4618;D;0;0;0;
Case103;310980.0;437220.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/11 09:03:00.000;2012/03/11 10:37:00.000;001:34;52;Adjusting Nut;ID0997;D;0;0;0;
Case103;306720.0;441480.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/11 10:37:00.000;2012/03/11 11:48:00.000;001:11;52;Adjusting Nut;ID0997;S;0;0;0;
Case103;291060.0;457140.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/11 11:49:00.000;2012/03/11 16:09:00.000;004:20;52;Adjusting Nut;ID0997;D;25;0;0;
Case103;282300.0;465900.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/11 16:35:00.000;2012/03/11 18:35:00.000;002:00;52;Adjusting Nut;ID4219;D;5;0;0;
Case103;232320.0;515880.0;Turning & Milling Q.C.;Quality Check 1;2012/03/12 08:27:00.000;2012/03/12 08:28:00.000;000:01;52;Adjusting Nut;ID4618;D;50;2;0;
Case103;137640.0;610560.0;Laser Marking - Machine 7;Machine 7- Laser Marking;2012/03/13 09:54:00.000;2012/03/13 10:46:00.000;000:52;52;Adjusting Nut;ID4355;D;50;0;0;
Case103;125760.0;622440.0;Flat Grinding - Machine 11;Machine 11 - Grinding;2012/03/13 13:27:00.000;2012/03/13 14:04:00.000;000:37;52;Adjusting Nut;ID0998;D;50;0;0;
Case103;111780.0;636420.0;Final Inspection Q.C.;Quality Check 1;2012/03/13 14:07:00.000;2012/03/13 17:57:00.000;003:50;52;Adjusting Nut;ID4618;D;0;0;0;
Case103;51900.0;696300.0;Final Inspection Q.C.;Quality Check 1;2012/03/14 06:58:00.000;2012/03/14 10:35:00.000;003:37;52;Adjusting Nut;ID4618;D;0;0;0;
Case103;46560.0;701640.0;Final Inspection Q.C.;Quality Check 1;2012/03/14 12:03:00.000;2012/03/14 12:04:00.000;000:01;52;Adjusting Nut;ID4618;D;50;0;0;
Case103;0.0;748200.0;Packing;Packing;2012/03/15 00:00:00.000;2012/03/15 01:00:00.000;000:00;52;Adjusting Nut;ID4820;D;50;0;0;
Case104;112980.0;20580.0;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;2012/03/19 20:43:00.000;2012/03/20 02:26:00.000;005:43;33;Cable Head;ID4529;S;1;0;0;
Case104;97680.0;35880.0;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;2012/03/20 02:27:00.000;2012/03/20 06:41:00.000;004:14;33;Cable Head;ID4529;D;19;0;0;
Case104;86100.0;47460.0;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;2012/03/20 07:00:00.000;2012/03/20 11:07:00.000;004:07;33;Cable Head;ID4429;D;13;0;0;
Case104;78900.0;54660.0;Turning & Milling Q.C.;Quality Check 1;2012/03/20 09:54:00.000;2012/03/20 11:54:00.000;002:00;33;Cable Head;ID4493;D;0;0;0;
Case104;7680.0;125880.0;Turning & Milling Q.C.;Quality Check 1;2012/03/21 06:55:00.000;2012/03/21 07:41:00.000;000:46;33;Cable Head;ID4493;D;33;0;0;
Case104;0.0;133560.0;Laser Marking - Machine 7;Machine 7- Laser Marking;2012/03/21 09:21:00.000;2012/03/21 09:49:00.000;000:28;33;Cable Head;ID4718;D;33;0;0;
Case105;14220.0;26160.0;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;2012/03/20 23:18:00.000;2012/03/21 06:34:00.000;007:16;15;Bearing;ID4167;S;0;0;0;
Case105;0.0;40380.0;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;2012/03/21 07:18:00.000;2012/03/21 10:31:00.000;003:13;15;Bearing;ID4932;D;15;0;0;
Case106;595260.0;19800.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/15 10:14:00.000;2012/03/15 15:44:00.000;005:30;39;Ballnut;ID0997;S;0;0;0;
Case106;577620.0;37440.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/15 16:55:00.000;2012/03/15 20:38:00.000;003:43;39;Ballnut;ID4219;D;39;0;0;
Case106;279420.0;335640.0;Turning & Milling Q.C.;Quality Check 1;2012/03/19 07:00:00.000;2012/03/19 07:28:00.000;000:28;39;Ballnut;ID4618;D;39;0;0;
Case106;267240.0;347820.0;Laser Marking - Machine 7;Machine 7- Laser Marking;2012/03/19 09:38:00.000;2012/03/19 10:51:00.000;001:13;39;Ballnut;ID0998;D;39;0;0;
Case106;251100.0;363960.0;Flat Grinding - Machine 11;Machine 11 - Grinding;2012/03/19 14:42:00.000;2012/03/19 15:20:00.000;000:38;39;Ballnut;ID4882;D;39;0;0;
Case106;68880.0;546180.0;Final Inspection Q.C.;Quality Check 1;2012/03/21 15:27:00.000;2012/03/21 17:57:00.000;002:30;39;Ballnut;ID4618;D;0;0;0;
Case106;43500.0;571560.0;Packing;Packing;2012/03/22 00:00:00.000;2012/03/22 01:00:00.000;000:00;39;Ballnut;ID4820;D;39;0;0;
Case106;0.0;615060.0;Final Inspection Q.C.;Quality Check 1;2012/03/22 11:50:00.000;2012/03/22 13:05:00.000;000:00;39;Ballnut;ID4618;D;39;0;0;
Case107;0.0;18660.0;Turning & Milling - Machine 10;Machine 10 - Grinding;2012/03/30 06:36:00.000;2012/03/30 11:47:00.000;005:11;20;Cable Head;ID4132;S;1;0;0;
Case108;959520.0;20220.0;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;2012/02/27 01:18:00.000;2012/02/27 06:55:00.000;005:37;15;Bushing;ID4794;S;1;0;0;
Case108;959220.0;20520.0;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;2012/02/27 06:59:00.000;2012/02/27 09:13:00.000;002:14;15;Bushing;ID4529;S;1;0;0;
Case108;951240.0;28500.0;Turning & Milling Q.C.;Quality Check 1;2012/02/27 07:00:00.000;2012/02/27 08:40:00.000;001:40;15;Bushing;ID4287;D;0;0;0;
Case108;938940.0;40800.0;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;2012/02/27 09:13:00.000;2012/02/27 12:38:00.000;003:25;15;Bushing;ID4529;D;13;0;0;
Case108;846180.0;133560.0;Turning & Milling Q.C.;Quality Check 1;2012/02/28 13:20:00.000;2012/02/28 14:24:00.000;001:04;15;Bushing;ID4287;D;14;1;0;
Case108;829200.0;150540.0;Laser Marking - Machine 7;Machine 7- Laser Marking;2012/02/28 17:52:00.000;2012/02/28 19:07:00.000;000:00;15;Bushing;ID0998;D;14;0;0;
